ROW_ID,ITEMID,VPICU VARIABLE,LABEL,CATEGORY,UNITNAME,ABBREVIATION,DBSOURCE,LINKSTO,PARAM_TYPE,CONCEPTID,Msmts / hour,Total msmts,Patients with >1 msmt,% patients 100% missing,Mean,Stddev
3970,4310,4310,,combivent,,,,carevue,chartevents,,,,,,,,
1475,4461,4461,,COMBIVENT,,,,carevue,chartevents,,,,,,,,
984,3377,3377,,Combivent MDI,,,,carevue,chartevents,,,,,,,,
4819,7841,7841,,Combivent Puff,,,,carevue,chartevents,,,,,,,,
2262,4246,4246,,Combivent puffs,,,,carevue,chartevents,,,,,,,,
2123,5361,5361,,Combivent Puffs,,,,carevue,chartevents,,,,,,,,
4792,7790,7790,,combivent puffs,,,,carevue,chartevents,,,,,,,,
15526,228398,228398,,Commands,Neurological,,Commands,metavision,,Text,,,,,,,
15525,228397,228397,,Commands Response,Neurological,,Commands Response,metavision,,Text,,,,,,,
15165,227850,227850,,Commode,OT Notes,,Commode,metavision,,Text,,,,,,,
12830,223903,223903,,Communication,Neurological,,Communication,metavision,,Text,,,,,,,
133,130,130,,Communication,,,,carevue,chartevents,,,,,,,,
14946,227841,227841,,Community Integration,OT Notes,,Community Integration,metavision,,Text,,,,,,,
1368,1359,1359,,complete bath,,,,carevue,chartevents,,,,,,,,
1378,1369,1369,,COMPLETE BATH,,,,carevue,chartevents,,,,,,,,
134,131,131,,Compliance (40-60ml),,,,carevue,chartevents,,,,,,,,
135,132,132,,Compliance-Corrected,,,,carevue,chartevents,,,,,,,,
15546,228426,228426,,Complications - bleeding (MBAL),Bronchoscopy,,Complications - bleeding (MBAL),metavision,,Text,,,,,,,
14396,226524,226524,,Complications (A-Line),Arterial Line Insertion,,Complications (A-Line),metavision,,Text,,,,,,,
13847,225524,225524,,Complications (Bronch),Bronchoscopy,,Complications (Bronch),metavision,,Text,,,,,,,
15587,228485,228485,,Complications (Gen Proc),Generic Proc Note,,Complications (Gen Proc),metavision,,Text,,,,,,,
14466,226430,226430,,Complications (Intubation),Intubation,,Complications (Intubation),metavision,,Text,,,,,,,
14470,226443,226443,,Complications (LP),Lumbar Puncture,,Complications (LP),metavision,,Text,,,,,,,
15545,228425,228425,,Complications (MBAL),Bronchoscopy,,Complications (MBAL),metavision,,Text,,,,,,,
13379,224479,224479,,Complications (PA line),PA Line Insertion,,Complications (PA line),metavision,,Text,,,,,,,
14469,226439,226439,,Complications (PACEN),Paracentesis,,Complications (PACEN),metavision,,Text,,,,,,,
13650,225250,225250,,Complications (THCEN),Thoracentesis,,Complications (THCEN),metavision,,Text,,,,,,,
15543,228419,228419,,Compression device # 1,Cardiovascular,,Compression device # 1,metavision,,Text,,,,,,,
15544,228420,228420,,Compression device # 2,Cardiovascular,,Compression device # 2,metavision,,Text,,,,,,,
15567,228451,228451,,Compression device # 3,Cardiovascular,,Compression device # 3,metavision,,Text,,,,,,,
15568,228452,228452,,Compression device # 4,Cardiovascular,,Compression device # 4,metavision,,Text,,,,,,,
14416,226561,226561,,Condom Cath,Output,mL,Condom Cath,metavision,outputevents,Numeric,,,,,,,
15579,228473,228473,,Conscious Sedation (Gen Proc),Generic Proc Note,,Conscious Sedation (Gen Proc),metavision,,Text,,,,,,,
13390,224506,224506,,Conscious sedation (THCEN),Thoracentesis,,Conscious sedation (THCEN),metavision,chartevents,Checkbox,,,,,,,
13853,225531,225531,,Conscious sedation used (Bronch),Bronchoscopy,,Conscious sedation used (Bronch),metavision,chartevents,Checkbox,,,,,,,
15257,228060,228060,,Conscious sedation used (Bronch),Bronchoscopy,,Conscious sedation used (Bronch),metavision,,Text,,,,,,,
12204,45628,45628,,consent,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
985,3378,3378,,Consent for visitors,,,,carevue,chartevents,,,,,,,,
13745,225135,225135,,Consults,Adm History/FHPA,,Consults,metavision,,Text,,,,,,,
4698,7565,7565,,Cont EEG,,,,carevue,chartevents,,,,,,,,
13287,224748,224748,,Cont Neb - Dose (mg/hr/drug),Respiratory,mg/hour,Cont Neb - Dose (mg/hr/drug),metavision,chartevents,Numeric,,,,,,,
13318,224375,224375,,Cont Neb - Med,Respiratory,,Cont Neb - Med,metavision,,Text,,,,,,,
4494,7060,7060,,Cont. EEG,,,,carevue,chartevents,,,,,,,,
14601,227131,227131,,Cont. Neb Med Dose,Respiratory,,Cont. Neb Med Dose,metavision,,Text,,,,,,,
136,133,133,,Cont.Nebulizer(Drug),,,,carevue,chartevents,,,,,,,,
3405,2112,2112,,continuous C.O,,,,carevue,chartevents,,,,,,,,
1387,1378,1378,,Continuous CI,,,,carevue,chartevents,,,,,,,,
1388,1379,1379,,Continuous CO,,,,carevue,chartevents,,,,,,,,
2058,5966,5966,,Continuous EEG q1hr,,,,carevue,chartevents,,,,,,,,
2037,5945,5945,,Continuous Neb,,,,carevue,chartevents,,,,,,,,
13172,224091,224091,,Continuous Pressure Machine Status,Treatments,,CPM Status,metavision,,Text,,,,,,,
15547,228427,228427,,Contraindications (MBAL),Bronchoscopy,,Contraindications (MBAL),metavision,,Text,,,,,,,
10667,41642,41642,,contrast,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
10371,46610,46610,,Contrast,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
6472,42193,42193,,CONTRAST CATH LAB,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7209,43235,43235,,contrast dye,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
10295,46490,46490,,Contrast Dye,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7552,42369,42369,,CONTRAST IN ANGIO,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7865,42793,42793,,contrast po,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
6480,42205,42205,,contrast via ft,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
11607,42311,42311,,CONTRAST VIA NG,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
8100,43108,43108,,contrast via ng,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
9669,45265,45265,,CONTRAST via NG,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
6397,42079,42079,,CONTRAST VIA NG.,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7977,42948,42948,,CONTRAST VIA NG/FT,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7702,42578,42578,,CONTRAST VIA NGT,Free Form Intake,,,carevue,outputevents,,,,,,,,
7925,42867,42867,,contrast via ngt,Free Form Intake,,,carevue,outputevents,,,,,,,,
10751,42175,42175,,CONTRAST VIA OG,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
4381,6799,6799,,COO,,,,carevue,chartevents,,,,,,,,
4393,6831,6831,,cool bath,,,,carevue,chartevents,,,,,,,,
137,134,134,,Cooling [Device],,,,carevue,chartevents,,,,,,,,
4842,8379,8379,,Cooling [Status],,,,carevue,chartevents,,,,,,,,
4593,7281,7281,,Cooling Blanket,,,,carevue,chartevents,,,,,,,,
13177,224106,224106,,Cooling Device,Treatments,,Cooling Device,metavision,,Text,,,,,,,
13707,225052,225052,,Cooling Device Status,Treatments,,Cooling Device Status,metavision,,Text,,,,,,,
1558,4630,4630,,cord care,,,,carevue,chartevents,,,,,,,,
2104,5285,5285,,Cord Drg.,,,,carevue,chartevents,,,,,,,,
14201,225775,225775,,Cordis Introducer Dressing Type,Access Lines - Invasive,,Cordis Introducer Dressing Type,metavision,,Text,,,,,,,
13074,224267,224267,,Cordis/Introducer,Access Lines - Invasive,None,Cordis/Introducer,metavision,procedureevents_mv,Process,,,,,,,
13096,224292,224292,,Cordis/Introducer Cap Change,Access Lines - Invasive,,Cordis Introducer Cap Change,metavision,datetimeevents,Date time,,,,,,,
13097,224293,224293,,Cordis/Introducer Change over Wire Date,Access Lines - Invasive,,Cordis/Introducer Change over Wire Date,metavision,datetimeevents,Date time,,,,,,,
14166,225739,225739,,Cordis/Introducer Discontinued,Access Lines - Invasive,,Cordis/Introducer Discontinued,metavision,,Text,,,,,,,
13098,224295,224295,,Cordis/Introducer Dressing Change,Access Lines - Invasive,,Cordis/Introducer Dressing Change,metavision,datetimeevents,Date time,,,,,,,
14864,227350,227350,,Cordis/Introducer Dressing Occlusive,Access Lines - Invasive,,Cordis/Introducer Dressing Occlusive,metavision,chartevents,Checkbox,,,,,,,
13099,224296,224296,,Cordis/Introducer Insertion Date,Access Lines - Invasive,,Cordis/Introducer Insertion Date,metavision,datetimeevents,Date time,,,,,,,
14151,225724,225724,,Cordis/Introducer Line Tip Cultured,Access Lines - Invasive,,Cordis/Introducer Line Tip Cultured,metavision,chartevents,Checkbox,,,,,,,
14248,226109,226109,,Cordis/Introducer placed in outside facility,Access Lines - Invasive,,Cordis/Introducer placed in outside facility,metavision,chartevents,Checkbox,,,,,,,
14884,227752,227752,,Cordis/Introducer Placement Confirmed by X-ray,Access Lines - Invasive,,Cordis/Introducer Placement Confirmed by X-ray,metavision,,Text,,,,,,,
13100,224297,224297,,Cordis/Introducer Site Appear,Access Lines - Invasive,,Cordis/Introducer Site Appear,metavision,,Text,,,,,,,
13101,224298,224298,,Cordis/Introducer Tubing Change,Access Lines - Invasive,,Cordis/Introducer Tubing Change,metavision,datetimeevents,Date time,,,,,,,
7800,42704,42704,,corlopam,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7771,42657,42657,,corlopam mcgs/kg/min,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
3756,2746,2746,,corlopam mcgs/kg/min,,,,carevue,chartevents,,,,,,,,
5242,30324,30324,,Corn Oil,,,,carevue,inputevents_cv,,,,,,,,
12273,70027,70027,,CORNEAL EYE SCRAPINGS,SPECIMEN,,,hospital,microbiologyevents,,,,,,,,
4843,8380,8380,,Corneal Reflex [Left],,,,carevue,chartevents,,,,,,,,
138,135,135,,Corneal Reflex [Right],,,,carevue,chartevents,,,,,,,,
13278,224731,224731,,Corneal Reflex Left,Neurological,,Corneal Reflex Left,metavision,,Text,,,,,,,
15541,228415,228415,,Corneal Reflex Left,Neurological,,Corneal Reflex Left,metavision,,Text,,,,,,,
13277,224730,224730,,Corneal Reflex Right,Neurological,,Corneal Reflex Right,metavision,,Text,,,,,,,
15542,228416,228416,,Corneal Reflex Right,Neurological,,Corneal Reflex Right,metavision,,Text,,,,,,,
3030,1579,1579,,CORNEAL REFLEXES,,,,carevue,chartevents,,,,,,,,
14824,227463,227463,,Cortisol,Labs,None,Cortisol,metavision,chartevents,Numeric with tag,,,,,,,
3087,1638,1638,,cortisol,,,,carevue,chartevents,,,,,,,,
1799,5695,5695,,CORTISOL LEVEL 30 MN,,,,carevue,chartevents,,,,,,,,
1801,5697,5697,,CORTISOL LEVEL PRE,,,,carevue,chartevents,,,,,,,,
12480,80141,80141,,CORYNEBACTERIUM JEIKEIUM (C.D.C. GROUP JK),ORGANISM,,,hospital,microbiologyevents,,,,,,,,
12424,80085,80085,,CORYNEBACTERIUM SPECIES (DIPHTHEROIDS),ORGANISM,,,hospital,microbiologyevents,,,,,,,,
12495,80156,80156,,CORYNEBACTERIUM STRIATUM,ORGANISM,,,hospital,microbiologyevents,,,,,,,,
12532,80193,80193,,CORYNEBACTERIUM UREALYTICUM SP. NOV.,ORGANISM,,,hospital,microbiologyevents,,,,,,,,
12560,80221,80221,,CORYNEBCATERIUM AMYCOLATUM,ORGANISM,,,hospital,microbiologyevents,,,,,,,,
1595,4694,4694,,Cosopt,,,,carevue,chartevents,,,,,,,,
1622,4736,4736,,COSOPT DROPS,,,,carevue,chartevents,,,,,,,,
2737,5226,5226,,Cough,,,,carevue,chartevents,,,,,,,,
13013,223991,223991,,Cough Effort,Pulmonary,,Cough Effort,metavision,,Text,,,,,,,
139,136,136,,Cough Effort,,,,carevue,chartevents,,,,,,,,
12832,223905,223905,,Cough Reflex,Neurological,,Cough Reflex,metavision,,Text,,,,,,,
140,137,137,,Cough Reflex,,,,carevue,chartevents,,,,,,,,
13014,223992,223992,,Cough Type,Pulmonary,,Cough Type,metavision,,Text,,,,,,,
141,138,138,,Cough Type,,,,carevue,chartevents,,,,,,,,
13780,225188,225188,,Cough/Deep Breath,Treatments,,Cough/Deep Breath,metavision,chartevents,Checkbox,,,,,,,
3815,2825,2825,,Cough/Deep Breath,,,,carevue,chartevents,,,,,,,,
142,139,139,,Cough/Deep Breathe,,,,carevue,chartevents,,,,,,,,
3829,2852,2852,,COUGH/DEEP BREATHE,,,,carevue,chartevents,,,,,,,,
4555,7209,7209,,COUGH/DEEP BREATHING,,,,carevue,chartevents,,,,,,,,
14066,225913,225913,,Coumadin (Warfarin),Medications,dose,Coumadin (Warfarin),metavision,inputevents_mv,Solution,,,,,,,
16,1457,1457,,CPAP,,,,carevue,chartevents,,,,,,,,
3272,1914,1914,,Cpap,,,,carevue,chartevents,,,,,,,,
4416,6875,6875,,CPAP AMT,,,,carevue,chartevents,,,,,,,,
793,3111,3111,,cpap level,,,,carevue,chartevents,,,,,,,,
3839,2866,2866,,CPAP MASK,,,,carevue,chartevents,,,,,,,,
704,784,784,,CPK,Enzymes,,,carevue,chartevents,,,,,,,,
705,785,785,,CPK/MB,Enzymes,,,carevue,chartevents,,,,,,,,
96,91,91,,CPM,,,,carevue,chartevents,,,,,,,,
1818,5714,5714,,CPM MACHINE,,,,carevue,chartevents,,,,,,,,
97,92,92,,CPP,,,,carevue,chartevents,,,,,,,,
3478,2314,2314,,cpp,,,,carevue,chartevents,,,,,,,,
3923,3000,3000,,CPP WITH CAMINO ICP,,,,carevue,chartevents,,,,,,,,
1517,4545,4545,,CPR,,,,carevue,chartevents,,,,,,,,
2571,6172,6172,,cpr class,,,,carevue,chartevents,,,,,,,,
1868,5765,5765,,CPR instruction,,,,carevue,chartevents,,,,,,,,
1166,956,956,,CPT,,,,carevue,chartevents,,,,,,,,
3076,1626,1626,,CPT/VEST,,,,carevue,chartevents,,,,,,,,
11954,44279,44279,,Cranberry Juice,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
12271,70025,70025,,CRE Screen,SPECIMEN,,,hospital,microbiologyevents,,,,,,,,
2589,6191,6191,,Creamy Desitin,,,,carevue,chartevents,,,,,,,,
2977,1525,1525,,Creatinine,Chemistry,,,carevue,chartevents,,,,,,,,
12698,220615,220615,,Creatinine,Labs,None,Creatinine,metavision,chartevents,Numeric,,,,,,,
2871,3750,3750,,Creatinine   (0-0.7),Chemistry,,,carevue,chartevents,,,,,,,,
710,791,791,,Creatinine (0-1.3),Chemistry,,,carevue,chartevents,,,,,,,,
14682,227005,227005,,Creatinine_ApacheIV,Scores - APACHE IV (2),None,Creatinine_ApacheIV,metavision,chartevents,Numeric,,,,,,,
14512,226751,226751,,CreatinineApacheIIScore,Scores - APACHE II,None,CreatinineApacheIIScore,metavision,chartevents,Numeric,,,,,,,
14513,226752,226752,,CreatinineApacheIIValue,Scores - APACHE II,None,CreatinineApacheIIValue,metavision,chartevents,Numeric,,,,,,,
14683,227006,227006,,CreatScore_ApacheIV,Scores - APACHE IV (2),None,CreatScore_ApacheIV,metavision,chartevents,Numeric,,,,,,,
4386,6815,6815,,Critacaid,,,,carevue,chartevents,,,,,,,,
4043,8276,8276,,critcaid ointment,,,,carevue,chartevents,,,,,,,,
2433,6022,6022,,Critic Aide,,,,carevue,chartevents,,,,,,,,
1582,4676,4676,,Critic-aid,,,,carevue,chartevents,,,,,,,,
4287,6628,6628,,critic-aid,,,,carevue,chartevents,,,,,,,,
4788,7779,7779,,Critic-aid oint,,,,carevue,chartevents,,,,,,,,
4102,6276,6276,,Critic-Aid Skin Pst,,,,carevue,chartevents,,,,,,,,
1519,4549,4549,,criticaid,,,,carevue,chartevents,,,,,,,,
1540,4595,4595,,Criticaid,,,,carevue,chartevents,,,,,,,,
2045,5953,5953,,CRITICAID,,,,carevue,chartevents,,,,,,,,
3995,4371,4371,,Criticaid cream,,,,carevue,chartevents,,,,,,,,
4766,7722,7722,,criticaid oint.,,,,carevue,chartevents,,,,,,,,
4753,7683,7683,,criticaid ointment,,,,carevue,chartevents,,,,,,,,
2685,5071,5071,,Criticaid Paste,,,,carevue,chartevents,,,,,,,,
2363,8034,8034,,Criticaid/Powder,,,,carevue,chartevents,,,,,,,,
1724,5604,5604,,criticaide,,,,carevue,chartevents,,,,,,,,
15548,228429,228429,,Critical Proc Steps (MBAL),Bronchoscopy,,Critical Proc Steps (MBAL),metavision,,Text,,,,,,,
5262,30164,30164,,Criticare HN,,,,carevue,inputevents_cv,,,,,,,,
6367,42049,42049,,criticare hn tf,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
10742,42150,42150,,CRITICARE TF,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
9446,46293,46293,,CRRT Citrate,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
13901,225436,225436,,CRRT Filter Change,Dialysis,None,CRRT Filter Change,metavision,procedureevents_mv,Process,,,,,,,
9506,46389,46389,,CRRT FLUSH,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
8448,44927,44927,,CRRT HEPARIN,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
12013,46292,46292,,CRRT Irrigation,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
12020,46311,46311,,crrt irrigation,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
14622,227290,227290,,CRRT mode,Dialysis,,CRRT mode,metavision,,Text,,,,,,,
10437,46681,46681,,CRRT Rescue Flush,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
11754,46574,46574,,CRRT rescue line NS,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
986,3380,3380,,Cry,,,,carevue,chartevents,,,,,,,,
7812,42723,42723,,cryo,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
8029,43008,43008,,cryo or,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
13769,225171,225171,,Cryoprecipitate,Blood Products/Colloids,mL,Cryoprecipitate,metavision,inputevents_mv,Solution,,,,,,,
5341,30007,30007,,Cryoprecipitate,,,,carevue,inputevents_cv,,,,,,,,
12404,80065,80065,,CRYPTOCOCCUS NEOFORMANS,ORGANISM,,,hospital,microbiologyevents,,,,,,,,
12416,80077,80077,,CRYPTOCOCCUS SPECIES,ORGANISM,,,hospital,microbiologyevents,,,,,,,,
12606,80267,80267,,CRYPTOSPORIDIUM PARVUM OOCYSTS SEEN,ORGANISM,,,hospital,microbiologyevents,,,,,,,,
6486,42215,42215,,CRYS CC7,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7453,42231,42231,,CRYST ANGIO,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
8559,45090,45090,,CRYST FROM FLOOR,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
8911,43839,43839,,cryst in ed,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
8262,44487,44487,,Cryst on floor,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7807,42715,42715,,CRYSTAL IN/DAY SHIFT,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
11142,42528,42528,,crystalloid farr 5,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
9515,46404,46404,,crystalloid from f10,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
7553,42370,42370,,CRYSTALLOID IN ANGIO,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
8654,44825,44825,,crystalloid- ed,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
8794,43687,43687,,crystalloid/dialysis,Free Form Intake,,,carevue,outputevents,,,,,,,,
9350,46171,46171,,crystalloids in ango,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
13902,225437,225437,,CSF Culture,6-Cultures,None,CSF Culture,metavision,procedureevents_mv,Process,,,,,,,
10697,41779,41779,,CSF needle aspirate,,,,carevue,inputevents_cv,,,,,,,,
877,3238,3238,,CSF PRESSURE,,,,carevue,chartevents,,,,,,,,
12272,70026,70026,,CSF;SPINAL FLUID,SPECIMEN,,,hospital,microbiologyevents,,,,,,,,
4679,7508,7508,,CSM CHECK,,,,carevue,chartevents,,,,,,,,
2332,7954,7954,,CSM of left toes,,,,carevue,chartevents,,,,,,,,
2333,7955,7955,,CSM of right toes,,,,carevue,chartevents,,,,,,,,
2646,4969,4969,,CSM R LE,,,,carevue,chartevents,,,,,,,,
1737,5629,5629,,csm to right hand,,,,carevue,chartevents,,,,,,,,
4071,8353,8353,,CSM to toes,,,,carevue,chartevents,,,,,,,,
7969,42935,42935,,CT # 6 & # 2 RT,,,,carevue,inputevents_cv,,,,,,,,
101,96,96,,CT #1 [Fluctuate],,,,carevue,chartevents,,,,,,,,
4836,8373,8373,,CT #1 [Leak],,,,carevue,chartevents,,,,,,,,
13020,223998,223998,,CT #1 Crepitus,Pulmonary,,CT #1 Crepitus,metavision,,Text,,,,,,,
98,93,93,,CT #1 Crepitus,,,,carevue,chartevents,,,,,,,,
13018,223996,223996,,CT #1 Drainage,Pulmonary,,CT #1 Drainage,metavision,,Text,,,,,,,
99,94,94,,CT #1 Drainage,,,,carevue,chartevents,,,,,,,,
13019,223997,223997,,CT #1 Dressing,Pulmonary,,CT #1 Dressing,metavision,,Text,,,,,,,
100,95,95,,CT #1 Dressing,,,,carevue,chartevents,,,,,,,,
13017,223995,223995,,CT #1 Fluctuate,Pulmonary,,CT #1 Fluctuate,metavision,,Text,,,,,,,
13305,224775,224775,,CT #1 Leak,Pulmonary,,CT #1 Leak,metavision,,Text,,,,,,,
13016,223994,223994,,CT #1 Suction Amount,Pulmonary,,CT #1 Suction Amount,metavision,,Text,,,,,,,
102,97,97,,CT #1 Suction Amount,,,,carevue,chartevents,,,,,,,,
13617,224806,224806,,CT #1 Suction Type,Pulmonary,,CT #1 Suction Type,metavision,,Text,,,,,,,
106,101,101,,CT #2 [Fluctuate],,,,carevue,chartevents,,,,,,,,
4837,8374,8374,,CT #2 [Leak],,,,carevue,chartevents,,,,,,,,
9945,45635,45635,,CT #2 assessment,,,,carevue,inputevents_cv,,,,,,,,
13340,224423,224423,,CT #2 Crepitus,Pulmonary,,CT #2 Crepitus,metavision,,Text,,,,,,,
103,98,98,,CT #2 Crepitus,,,,carevue,chartevents,,,,,,,,
13341,224424,224424,,CT #2 Drainage,Pulmonary,,CT #2 Drainage,metavision,,Text,,,,,,,
104,99,99,,CT #2 Drainage,,,,carevue,chartevents,,,,,,,,
13342,224425,224425,,CT #2 Dressing,Pulmonary,,CT #2 Dressing,metavision,,Text,,,,,,,
105,100,100,,CT #2 Dressing,,,,carevue,chartevents,,,,,,,,
13343,224426,224426,,CT #2 Fluctuate,Pulmonary,,CT #2 Fluctuate,metavision,,Text,,,,,,,
13306,224777,224777,,CT #2 Leak,Pulmonary,,CT #2 Leak,metavision,,Text,,,,,,,
13344,224427,224427,,CT #2 Suction Amount,Pulmonary,,CT #2 Suction Amount,metavision,,Text,,,,,,,
107,102,102,,CT #2 Suction Amount,,,,carevue,chartevents,,,,,,,,
13618,224808,224808,,CT #2 Suction Type,Pulmonary,,CT #2 Suction Type,metavision,,Text,,,,,,,
111,106,106,,CT #3 [Fluctuate],,,,carevue,chartevents,,,,,,,,
4838,8375,8375,,CT #3 [Leak],,,,carevue,chartevents,,,,,,,,
13345,224428,224428,,CT #3 Crepitus,Pulmonary,,CT #3 Crepitus,metavision,,Text,,,,,,,
108,103,103,,CT #3 Crepitus,,,,carevue,chartevents,,,,,,,,
13347,224430,224430,,CT #3 Drainage,Pulmonary,,CT #3 Drainage,metavision,,Text,,,,,,,
109,104,104,,CT #3 Drainage,,,,carevue,chartevents,,,,,,,,
13349,224432,224432,,CT #3 Dressing,Pulmonary,,CT #3 Dressing,metavision,,Text,,,,,,,
110,105,105,,CT #3 Dressing,,,,carevue,chartevents,,,,,,,,
13351,224434,224434,,CT #3 Fluctuate,Pulmonary,,CT #3 Fluctuate,metavision,,Text,,,,,,,
13307,224779,224779,,CT #3 Leak,Pulmonary,,CT #3 Leak,metavision,,Text,,,,,,,
13353,224436,224436,,CT #3 Suction Amount,Pulmonary,,CT #3 Suction Amount,metavision,,Text,,,,,,,
112,107,107,,CT #3 Suction Amount,,,,carevue,chartevents,,,,,,,,
13619,224810,224810,,CT #3 Suction Type,Pulmonary,,CT #3 Suction Type,metavision,,Text,,,,,,,
116,111,111,,CT #4 [Fluctuate],,,,carevue,chartevents,,,,,,,,
4839,8376,8376,,CT #4 [Leak],,,,carevue,chartevents,,,,,,,,
13346,224429,224429,,CT #4 Crepitus,Pulmonary,,CT #4 Crepitus,metavision,,Text,,,,,,,
113,108,108,,CT #4 Crepitus,,,,carevue,chartevents,,,,,,,,
13348,224431,224431,,CT #4 Drainage,Pulmonary,,CT #4 Drainage,metavision,,Text,,,,,,,
114,109,109,,CT #4 Drainage,,,,carevue,chartevents,,,,,,,,
13350,224433,224433,,CT #4 Dressing,Pulmonary,,CT #4 Dressing,metavision,,Text,,,,,,,
115,110,110,,CT #4 Dressing,,,,carevue,chartevents,,,,,,,,
13352,224435,224435,,CT #4 Fluctuate,Pulmonary,,CT #4 Fluctuate,metavision,,Text,,,,,,,
13308,224781,224781,,CT #4 Leak,Pulmonary,,CT #4 Leak,metavision,,Text,,,,,,,
13354,224437,224437,,CT #4 Suction Amount,Pulmonary,,CT #4 Suction Amount,metavision,,Text,,,,,,,
117,112,112,,CT #4 Suction Amount,,,,carevue,chartevents,,,,,,,,
13620,224812,224812,,CT #4 Suction Type,Pulmonary,,CT #4 Suction Type,metavision,,Text,,,,,,,
3936,3016,3016,,CT #5 CREPITUS.,,,,carevue,chartevents,,,,,,,,
3937,3017,3017,,CT #5 DRAINAGE.,,,,carevue,chartevents,,,,,,,,
3938,3018,3018,,CT #5 DRESSING.,,,,carevue,chartevents,,,,,,,,
3939,3019,3019,,CT #5 FLUCTUATE/LEAK,,,,carevue,chartevents,,,,,,,,
3940,3020,3020,,CT #5 SUCTION AMOUNT,,,,carevue,chartevents,,,,,,,,
7075,41389,41389,,ct contrast,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
11739,46536,46536,,CT Contrast,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
1753,5645,5645,,ct dressing,,,,carevue,chartevents,,,,,,,,
12,1453,1453,,CT DRSG,,,,carevue,chartevents,,,,,,,,
3967,4303,4303,,CT dsg,,,,carevue,chartevents,,,,,,,,
12080,45180,45180,,ct gent gtt,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
11800,46785,46785,,ct insertion site,,,,carevue,inputevents_cv,,,,,,,,
12121,45339,45339,,CT instill-> talc,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
11617,42339,42339,,CT OUTPUT OR,,,,carevue,outputevents,,,,,,,,
10673,41712,41712,,CT prep,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
11250,42936,42936,,CT R. pleural #3,,,,carevue,outputevents,,,,,,,,
12952,221214,221214,,CT scan,5-Imaging,None,CT scan,metavision,procedureevents_mv,Process,,,,,,,
957,3343,3343,,CT Scan,,,,carevue,chartevents,,,,,,,,
2636,6240,6240,,CT scan,,,,carevue,chartevents,,,,,,,,
2383,8080,8080,,CT site,,,,carevue,chartevents,,,,,,,,
9117,44131,44131,,CT site,,,,carevue,inputevents_cv,,,,,,,,
11950,44268,44268,,CT SITE DRAIN,,,,carevue,outputevents,,,,,,,,
4563,7222,7222,,CT sites,,,,carevue,chartevents,,,,,,,,
8599,44738,44738,,CT warming fluid,Free Form Intake,,,carevue,inputevents_cv,,,,,,,,
143,140,140,,Cuff Leak,,,,carevue,chartevents,,,,,,,,
1242,1095,1095,,cuff leak present,,,,carevue,chartevents,,,,,,,,
4672,7486,7486,,CUFF P.,,,,carevue,chartevents,,,,,,,,
4577,7246,7246,,Cuff pres.,,,,carevue,chartevents,,,,,,,,
